Rank,Term,Adjusted_P,Library,Overlapping_genes,Combined_Score,P_Value,Library_clean,Term_clean,MinusLog10AdjP,Candidate_Name,Overlap_Count,Anchor_Hit_Count,Core8_Hit_Count,Anchor_Hits,Core8_Hits,Candidate_Class
1,Etanercept DB00005 human GSE36177 sample 2597,1.6641807062930498e-30,Drug_Perturbations_from_GEO_down,IFITM3;CD274;ADM;SIPA1L2;IFIT3;LMNB1;HCAR2;PGS1;IFIH1;HCAR3;SOCS3;CASP5;PSTPIP2;FFAR2;FBXO6;GBP2;FCGR1A;GBP1;GBP4;GBP5;BATF2;IL4R;DUSP3;GK;GCH1;ANXA3;STAT1;ANKRD22;LIMK2;RHBDF2;OSM;TAP1;PARP14;TAPBP;ETV7;PLSCR1;CEACAM1;PIK3AP1;IL18R1,1515.51888688684,2.26111509007208e-33,GEO drug perturbations (down),Etanercept DB00005 human GSE36177 sample 2597,29.778799517297173,Etanercept,39,2,3,GBP1;STAT1,IFIT3;GBP1;STAT1,Biologic_or_immunomodulator
2,alfacalcidol 5282181 human GSE15947 sample 3364,2.7006527554217897e-19,Drug_Perturbations_from_GEO_down,IFITM3;IFITM1;IFI6;UBE2L6;IFI35;DDX60;IFI44L;IFIT3;IFIH1;EPSTI1;ABCA1;DTX3L;ANXA3;STAT1;TAP1;IFI44;PARP14;PARP9;PLSCR1;OAS1;IRF1;IRF7;F2RL1;ASPHD2;CARD16;XAF1;GAS6;MYL9,737.814662964476,7.33873031364616e-22,GEO drug perturbations (down),alfacalcidol 5282181 human GSE15947 sample 3364,18.56853125294656,Alfacalcidol,28,1,6,STAT1,IFI6;IFI35;IFIT3;STAT1;PARP9;IRF7,Candidate_drug_or_compound
3,Cigarette Smoke 57288536 human GSE8823 sample 2478,1.17747039271887e-17,Drug_Perturbations_from_GEO_down,IFITM3;C1QB;MCTP1;TNFAIP6;UBE2L6;DDX60;IFIT3;PSTPIP2;EPSTI1;FBXO6;GBP2;GBP1;TRIM22;GBP5;GCH1;STAT1;MYOF;TAP1;LHFPL2;PLSCR1;AIM2;IRF1;SERPING1;LAP3;TLR2;C1QC,644.88972141184,4.79947170945191e-20,GEO drug perturbations (down),Cigarette Smoke 57288536 human GSE8823 sample 2478,16.929050004318366,Cigarette Smoke,26,2,3,GBP1;STAT1,IFIT3;GBP1;STAT1,Exposure_or_toxicant
4,nitric oxide 145068 human GSE13887 sample 3181,5.91130162536919e-15,Drug_Perturbations_from_GEO_down,IFITM3;RTP4;IFITM1;SAMD9L;UBE2L6;IFI35;DDX60;IFI44L;IFIT3;IFIT2;EPSTI1;GBP2;GBP1;GBP4;TRIM22;GBP5;RSAD2;DTX3L;GCH1;STAT1;TAP1;IFI44;PARP9;PLSCR1;IRF1;LAP3;XAF1,390.403763521084,3.21266392683108e-17,GEO drug perturbations (down),nitric oxide 145068 human GSE13887 sample 3181,14.228316880121358,Nitric Oxide,27,2,6,GBP1;STAT1,IFI35;IFIT3;IFIT2;GBP1;STAT1;PARP9,Exposure_or_toxicant
5,adenosine triphosphate 5957 human GSE30903 sample 3219,1.32724069277675e-14,Drug_Perturbations_from_GEO_down,IFITM3;IFITM1;SAMD9L;RSAD2;DTX3L;STAT1;IFI6;TAP1;IFI44;UBE2L6;IFI35;DDX60;IFI44L;IFIT3;IFIT2;OAS1;SCO2;EPSTI1;IRF7;FBXO6;LAP3;XAF1;TRIM22;TLR2,433.615363169623,9.01658079332029e-17,GEO drug perturbations (down),adenosine triphosphate 5957 human GSE30903 sample 3219,13.877050311449132,Adenosine Triphosphate,24,1,6,STAT1,STAT1;IFI6;IFI35;IFIT3;IFIT2;IRF7,Candidate_drug_or_compound
6,PLX4720 CID 24180719 human GSE50791 sample 2507,4.31460295642191e-13,Drug_Perturbations_from_GEO_down,IFITM3;IFITM1;STAT1;IFI6;TAP1;IFI44;UBE2L6;ADM;IFI35;PARP14;PARP9;IFI44L;IFIT3;IFIT2;IFIH1;CEACAM1;OAS1;EPSTI1;IRF7;LAP3;XAF1,401.946923188834,3.5173393666482903e-15,GEO drug perturbations (down),PLX4720 CID 24180719 human GSE50791 sample 2507,12.365059163278726,Plx4720 Cid,21,1,7,STAT1,STAT1;IFI6;IFI35;PARP9;IFIT3;IFIT2;IRF7,Candidate_drug_or_compound
7,alfacalcidol 5282181 human GSE15947 sample 3363,7.97375855337852e-13,Drug_Perturbations_from_GEO_down,ABCA1;IFITM1;DTX3L;STAT1;IFI6;TAP1;UBE2L6;IFI35;PARP14;DDX60;PARP9;IFI44L;HCAR3;OAS1;EPSTI1;IRF7;F2RL1;ASPHD2;CARD16;GAS6;MYL9;KCNJ2,349.938879599806,7.583737754571971e-15,GEO drug perturbations (down),alfacalcidol 5282181 human GSE15947 sample 3363,12.098336918977479,Alfacalcidol,22,1,5,STAT1,STAT1;IFI6;IFI35;PARP9;IRF7,Candidate_drug_or_compound
8,methotrexate DB00563 human GSE41831 sample 2601,3.4269368549411797e-12,Drug_Perturbations_from_GEO_down,RTP4;GBP5;RSAD2;P2RY14;IFI6;ADM;IFI35;DDX60;IFI44L;IFIT3;IFIT2;HCAR3;SCO2;EPSTI1;FBXO6;LAP3;GBP2;XAF1;GBP1;NAIP;IL18R1,328.027783145877,3.7249313640665e-14,GEO drug perturbations (down),methotrexate DB00563 human GSE41831 sample 2601,11.465093897847128,Methotrexate,21,1,5,GBP1,IFI6;IFI35;IFIT3;IFIT2;GBP1,Candidate_drug_or_compound
9,"1,25 dihydroxyvitamin D 5280453 human GSE15947 sample 2493",1.58447180927643e-11,Drug_Perturbations_from_GEO_down,IFITM1;DTX3L;STAT1;IFI6;TAP1;UBE2L6;IFI35;PARP14;DDX60;PARP9;IFI44L;IFIT3;OAS1;EPSTI1;IRF7;F2RL1;ASPHD2;CARD16;GAS6,330.178461848352,1.93753346243042e-13,GEO drug perturbations (down),"1,25 dihydroxyvitamin D 5280453 human GSE15947 sample 2493",10.800115483317859,"1,25 Dihydroxyvitamin D",19,1,6,STAT1,STAT1;IFI6;IFI35;PARP9;IFIT3;IRF7,Candidate_drug_or_compound
10,Arachidonic acid DB04557 human GSE3737 sample 3171,1.8753000249075698e-11,Drug_Perturbations_from_GEO_down,IFITM3;IFITM1;RSAD2;STAT1;IFI6;IFI44;UBE2L6;IFI35;DDX60;IFI44L;IFIT3;IFIT2;PLSCR1;OAS1;IRF7;ATF3;TRIM22,387.650052359375,2.54796199036354e-13,GEO drug perturbations (down),Arachidonic acid DB04557 human GSE3737 sample 3171,10.726929240609273,Arachidonic Acid,17,1,6,STAT1,STAT1;IFI6;IFI35;IFIT3;IFIT2;IRF7,Candidate_drug_or_compound
